district_id,timestamp_updated,state,district,headquarters,hq_latitude,hq_longitude,terrain_type,area_sq_km,est_population,population_density_sq_km,current_temperature_c,current_humidity_pct,rainfall_last_24h_mm,air_quality_index_us,active_disaster_incidents,flood_alert_level,landslide_risk_level,nh_highway_connectivity,power_grid_operational_pct,hospital_bed_available_pct,active_emergency_shelters,disaster_response_teams_deployed
DIS-NER-ASS-001,2026-08-25 13:30:00,Assam,Kamrup Metropolitan,Guwahati,26.1445,91.7362,Valley / Urban Hub,889,1061057,1194,31.9,85,2.0,43,0,Normal,Low,Open / Normal,94.2,40.4,0,0
DIS-NER-ASS-002,2026-08-25 13:30:00,Assam,Cachar,Silchar,24.817,92.8,Barak Valley,3025,441607,146,22.3,88,42.0,19,1,Normal,Low,Open / Normal,87.8,41.0,0,0
DIS-NER-ASS-003,2026-08-25 13:30:00,Assam,Dibrugarh,Dibrugarh,27.4728,94.912,Upper Assam / Oil Belt,634,82409,130,19.9,94,18.0,15,5,Normal,Low,Open / Normal,87.2,49.9,0,3
DIS-NER-ASS-004,2026-08-25 13:30:00,Assam,Jorhat,Jorhat,26.7509,94.2037,Upper Assam / Tea District,1696,329048,194,29.0,81,8.5,60,2,Normal,Low,Open / Normal,93.8,40.6,0,1
DIS-NER-ASS-005,2026-08-25 13:30:00,Assam,Sonitpur,Tezpur,26.6338,92.8,North Bank Plain,2310,1589063,688,21.1,74,8.5,29,2,Normal,Low,Open / Normal,97.6,34.0,0,1
DIS-NER-ASS-006,2026-08-25 13:30:00,Assam,Dima Hasao,Haflong,25.1667,93.0167,Hill District,4062,414324,102,24.6,97,8.5,52,8,Normal,Moderate,Open / Normal,91.9,60.1,0,2
DIS-NER-ASS-007,2026-08-25 13:30:00,Assam,Golaghat,Golaghat,26.5167,93.9667,Upper Assam / Floodplain,1743,313701,180,28.4,94,140.0,50,1,Severe Alert (Red),Low,Open / Normal,98.5,43.1,6,1
DIS-NER-ASS-008,2026-08-25 13:30:00,Assam,Nagaon,Nagaon,26.3452,92.684,Central Assam Plain,1258,1469474,1168,25.3,72,8.5,23,1,Normal,Low,Open / Normal,95.5,29.0,0,0
DIS-NER-ASS-009,2026-08-25 13:30:00,Assam,Barpeta,Barpeta,26.32,91.0,Lower Assam Plain,1969,1531860,778,28.7,93,88.0,25,0,High Alert (Orange),Low,Blocked / Diversion,93.2,74.3,7,1
DIS-NER-ASS-010,2026-08-25 13:30:00,Assam,Kokrajhar,Kokrajhar,26.4,90.27,BTR Foothill,3056,391152,128,18.8,82,140.0,43,1,High Alert (Orange),Low,Open / Normal,98.2,74.4,4,1
DIS-NER-MEG-011,2026-08-25 13:30:00,Meghalaya,East Khasi Hills,Shillong,25.5788,91.8933,Central Plateau,1235,217283,176,22.7,91,8.5,16,1,Normal,Low,Open / Normal,91.2,36.7,0,1
DIS-NER-MEG-012,2026-08-25 13:30:00,Meghalaya,West Garo Hills,Tura,25.5141,90.2032,Garo Hills Spur,1731,268321,155,23.8,85,8.5,45,1,Normal,Moderate,Open / Normal,95.3,28.7,0,1
DIS-NER-MEG-013,2026-08-25 13:30:00,Meghalaya,Ri-Bhoi,Nongpoh,25.9038,91.8803,Plateau Slope / Corridor,1632,297037,182,24.3,85,8.5,46,1,Normal,Low,Open / Normal,86.9,48.9,0,0
DIS-NER-MEG-014,2026-08-25 13:30:00,Meghalaya,West Jaintia Hills,Jowai,25.45,92.2,Jaintia Hills Plateau,497,104807,211,31.8,85,18.0,54,0,Normal,Moderate,Open / Normal,96.2,54.1,0,1
DIS-NER-MEG-015,2026-08-25 13:30:00,Meghalaya,South West Khasi Hills,Mawkyrwat,25.37,91.45,Southern Border Ridge,6515,319254,49,21.1,81,2.0,61,0,Normal,Low,Open / Normal,90.3,34.3,0,0
DIS-NER-ARU-016,2026-08-25 13:30:00,Arunachal Pradesh,Papum Pare,Itanagar,27.0844,93.6053,Outer Himalayan Foothills,1877,214007,114,19.7,91,8.5,28,2,Normal,Low,Restricted / One-Way,92.8,31.0,0,0
DIS-NER-ARU-017,2026-08-25 13:30:00,Arunachal Pradesh,East Siang,Pasighat,28.0663,95.326,Valley Apex,2272,331741,146,24.1,81,8.5,16,3,Normal,Low,Restricted / One-Way,87.8,58.3,0,1
DIS-NER-ARU-018,2026-08-25 13:30:00,Arunachal Pradesh,Tawang,Tawang,27.5861,91.8594,High Alpine / Border,1055,246821,234,16.9,93,140.0,58,0,High Alert (Orange),High,Open / Normal,90.7,27.3,5,0
DIS-NER-ARU-019,2026-08-25 13:30:00,Arunachal Pradesh,West Kameng,Bomdila,27.26,92.42,Mid-Himalayan Hill,1734,258395,149,22.1,86,88.0,47,8,High Alert (Orange),High,Open / Normal,86.5,56.2,11,1
DIS-NER-ARU-020,2026-08-25 13:30:00,Arunachal Pradesh,Lower Subansiri,Ziro,27.59,93.83,Intermontane Plateau,6719,322491,48,27.2,86,2.0,61,0,Normal,Low,Open / Normal,97.5,44.2,0,0
DIS-NER-ARU-021,2026-08-25 13:30:00,Arunachal Pradesh,Changlang,Changlang,27.13,95.73,Patkai Hill Range,2805,328181,117,21.9,72,8.5,57,0,Normal,Moderate,Restricted / One-Way,85.6,69.5,0,0
DIS-NER-MAN-022,2026-08-25 13:30:00,Manipur,Imphal West,Imphal,24.817,93.9368,Central Valley,4626,249797,54,30.6,79,2.0,37,1,Normal,Low,Open / Normal,88.3,48.7,0,0
DIS-NER-MAN-023,2026-08-25 13:30:00,Manipur,Imphal East,Porompat,24.82,93.96,Central Valley,3834,391092,102,27.8,92,8.5,20,5,Normal,Low,Open / Normal,86.7,54.0,0,1
DIS-NER-MAN-024,2026-08-25 13:30:00,Manipur,Churachandpur,Churachandpur,24.3333,93.6833,Western Hill Zone,1990,282512,142,26.1,84,18.0,35,0,Normal,Moderate,Open / Normal,87.8,49.3,0,0
DIS-NER-MAN-025,2026-08-25 13:30:00,Manipur,Ukhrul,Ukhrul,25.1167,94.3667,Eastern Folded Ridge,2335,399263,171,20.8,84,18.0,43,1,Normal,Low,Open / Normal,95.1,27.1,0,1
DIS-NER-MAN-026,2026-08-25 13:30:00,Manipur,Tengnoupal,Moreh,24.2341,94.305,Border / Corridor Zone,10933,415437,38,26.2,95,2.0,56,1,Normal,Low,Open / Normal,92.1,55.5,0,0
