incident_id,timestamp_reported,state,district,nearest_city_town,latitude,longitude,incident_category,incident_type,severity_level,incident_status,reporting_agency,response_time_minutes,fatalities_count,injuries_count,estimated_affected_population,est_financial_loss_lakh_inr,road_highway_affected,ndrf_sdrf_deployed,action_taken
INC-NER-2026-0116,2026-08-25 13:08:13,Mizoram,Champhai,Champhai,23.44931,93.31832,Hydro-Meteorological,Cloudburst / Heavy Rainfall Blockade,High (Level 3),Under Assessment,Forest Department Radar,99,0,3,230,5.74,NH-102,Yes,Emergency crews dispatched to Champhai for immediate cloudburst / heavy rainfall blockade containment and traffic rerouting.
INC-NER-2026-0314,2026-08-25 13:03:37,Assam,Dibrugarh,Dibrugarh,27.47093,94.89977,Environmental & Wildlife,Wild Elephant Corridor Movement / Human Wildlife Conflict,High (Level 3),Resolved / Cleared,Citizen Telemetry App,83,0,1,466,28.65,NH-37,Yes,Emergency crews dispatched to Dibrugarh for immediate wild elephant corridor movement / human wildlife conflict containment and traffic rerouting.
INC-NER-2026-0053,2026-08-25 12:26:27,Tripura,West Tripura,Agartala,23.82673,91.29464,Geological & Earth Hazards,Minor Tremor / Seismic Activity,Moderate (Level 2),Under Assessment,Forest Department Radar,13,0,0,17,1.53,NH-10,No,Emergency crews dispatched to Agartala for immediate minor tremor / seismic activity containment and traffic rerouting.
INC-NER-2026-0046,2026-08-25 12:16:54,Assam,Dibrugarh,Dibrugarh,27.46503,94.90074,Civic & Public Safety,Public Protests / Road Blockade Demonstration,High (Level 3),Mitigation In Progress,Border Roads Organisation (BRO),58,0,1,242,21.2,NH-08,Yes,Emergency crews dispatched to Dibrugarh for immediate public protests / road blockade demonstration containment and traffic rerouting.
INC-NER-2026-0152,2026-08-25 11:41:31,Assam,Golaghat,Kaziranga,26.58346,93.1834,Hydro-Meteorological,Major Landslide / Slope Failure,High (Level 3),Emergency Response Dispatched,Forest Department Radar,103,0,0,86,17.58,NH-29,Yes,Emergency crews dispatched to Kaziranga for immediate major landslide / slope failure containment and traffic rerouting.
INC-NER-2026-0015,2026-08-25 11:40:11,Assam,Sonitpur,Tezpur,26.6252,92.79386,Traffic & Infrastructure,Power Grid Failure / Transmission Break,Moderate (Level 2),Reported / Triaged,Border Roads Organisation (BRO),17,0,0,9,0.89,State Highway,No,Emergency crews dispatched to Tezpur for immediate power grid failure / transmission break containment and traffic rerouting.
INC-NER-2026-0090,2026-08-25 11:31:32,Assam,Dibrugarh,Dibrugarh,27.47149,94.8979,Geological & Earth Hazards,Subsidence / Ground Cracking,Moderate (Level 2),Resolved / Cleared,NDRF Control Room,52,0,0,42,1.11,NH-10,No,Emergency crews dispatched to Dibrugarh for immediate subsidence / ground cracking containment and traffic rerouting.
INC-NER-2026-0174,2026-08-25 10:57:12,Meghalaya,East Khasi Hills,Cherrapunji,25.29956,91.73401,Traffic & Infrastructure,National Highway Road Blockade,Moderate (Level 2),Reported / Triaged,Border Roads Organisation (BRO),18,0,0,39,1.58,NH-08,No,Emergency crews dispatched to Cherrapunji for immediate national highway road blockade containment and traffic rerouting.
INC-NER-2026-0255,2026-08-25 10:17:23,Mizoram,Aizawl,Aizawl,23.72093,92.72409,Hydro-Meteorological,Cyclone / Violent Wind Damage,High (Level 3),Under Assessment,Border Roads Organisation (BRO),12,1,6,456,26.31,NH-29,Yes,Emergency crews dispatched to Aizawl for immediate cyclone / violent wind damage containment and traffic rerouting.
INC-NER-2026-0120,2026-08-25 10:07:34,Assam,Dima Hasao,Haflong,25.17123,93.02207,Hydro-Meteorological,River Bank Erosion,Moderate (Level 2),Under Assessment,NDRF Control Room,92,0,0,14,0.56,State Highway,No,Emergency crews dispatched to Haflong for immediate river bank erosion containment and traffic rerouting.
INC-NER-2026-0209,2026-08-25 09:55:57,Mizoram,Lunglei,Lunglei,22.89912,92.7412,Traffic & Infrastructure,Communication Fiber Cut,Moderate (Level 2),Reported / Triaged,Police Integrated Control Room,68,0,0,6,2.49,None / N/A,No,Emergency crews dispatched to Lunglei for immediate communication fiber cut containment and traffic rerouting.
INC-NER-2026-0298,2026-08-25 09:50:27,Mizoram,Aizawl,Aizawl,23.71889,92.71856,Traffic & Infrastructure,Rail Line Submersion / Debris Clearance,Low (Level 1),Under Assessment,NDRF Control Room,67,0,0,22,1.0,NH-27,No,Emergency crews dispatched to Aizawl for immediate rail line submersion / debris clearance containment and traffic rerouting.
INC-NER-2026-0110,2026-08-25 09:30:25,Nagaland,Kohima,Kohima,25.66878,94.11538,Hydro-Meteorological,Major Landslide / Slope Failure,Critical (Level 4),Emergency Response Dispatched,Border Roads Organisation (BRO),9,5,0,1137,189.2,NH-37,Yes,Emergency crews dispatched to Kohima for immediate major landslide / slope failure containment and traffic rerouting.
INC-NER-2026-0266,2026-08-25 09:09:51,Assam,Cachar,Silchar,24.80755,92.80581,Civic & Public Safety,Border Checkpost Delay / Traffic Snarl,Moderate (Level 2),Under Assessment,Border Roads Organisation (BRO),62,0,0,15,4.68,NH-102,No,Emergency crews dispatched to Silchar for immediate border checkpost delay / traffic snarl containment and traffic rerouting.
INC-NER-2026-0278,2026-08-25 08:50:20,Sikkim,East Sikkim,Gangtok,27.34589,88.61482,Traffic & Infrastructure,Rail Line Submersion / Debris Clearance,Low (Level 1),Reported / Triaged,Border Roads Organisation (BRO),70,0,0,34,3.32,None / N/A,No,Emergency crews dispatched to Gangtok for immediate rail line submersion / debris clearance containment and traffic rerouting.
INC-NER-2026-0059,2026-08-25 08:41:43,Manipur,Tengnoupal,Moreh,24.22476,94.3135,Hydro-Meteorological,Flash Flood / River Water Inundation,Moderate (Level 2),Emergency Response Dispatched,Citizen Telemetry App,16,0,0,46,3.39,NH-10,No,Emergency crews dispatched to Moreh for immediate flash flood / river water inundation containment and traffic rerouting.
INC-NER-2026-0264,2026-08-25 08:28:30,Sikkim,East Sikkim,Gangtok,27.35364,88.60168,Civic & Public Safety,Border Checkpost Delay / Traffic Snarl,Moderate (Level 2),Resolved / Cleared,State Disaster Management Authority (SDMA),106,0,0,13,1.8,NH-08,No,Emergency crews dispatched to Gangtok for immediate border checkpost delay / traffic snarl containment and traffic rerouting.
INC-NER-2026-0043,2026-08-25 08:13:14,Meghalaya,East Khasi Hills,Cherrapunji,25.30952,91.74627,Hydro-Meteorological,Major Landslide / Slope Failure,High (Level 3),Resolved / Cleared,Forest Department Radar,22,0,0,338,23.05,NH-08,Yes,Emergency crews dispatched to Cherrapunji for immediate major landslide / slope failure containment and traffic rerouting.
INC-NER-2026-0066,2026-08-25 08:09:07,Tripura,North Tripura,Dharmanagar,24.37298,92.16566,Hydro-Meteorological,Cyclone / Violent Wind Damage,Low (Level 1),Mitigation In Progress,Forest Department Radar,53,0,0,5,4.0,State Highway,No,Emergency crews dispatched to Dharmanagar for immediate cyclone / violent wind damage containment and traffic rerouting.
