waybill_tracking_id,dispatch_timestamp,estimated_delivery_timestamp,actual_delivery_timestamp,state,district,delivery_hub_city,destination_pincode,logistics_partner,cargo_category,package_weight_kg,declared_value_inr,delivery_mode,delivery_status,payment_mode,otp_verification_status,delay_reason_if_any,last_mile_distance_km,customer_rating_score
DEL-NER-2026-000023,2026-08-25 12:30:00,2026-08-26 12:30:00,Pending,Meghalaya,East Khasi Hills,Shillong,793207,Delhivery,Essential Medicines & Medical Supplies,2.28,6099.95,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,18.0,N/A
DEL-NER-2026-000350,2026-08-25 12:30:00,2026-08-26 06:30:00,Pending,Assam,Kamrup Metropolitan,Guwahati,781268,Shadowfax,Handicrafts & Organic NE Produce (Outbound),22.24,9326.7,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,6.9,N/A
DEL-NER-2026-000479,2026-08-25 12:30:00,2026-08-26 02:30:00,Pending,Nagaland,Kohima,Kohima,797568,Delhivery,FMCG & Groceries,15.35,15017.03,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,29.4,N/A
DEL-NER-2026-000005,2026-08-25 12:30:00,2026-08-26 10:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791143,India Post (Speed Post),Apparel & Fashion,0.61,1151.03,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,25.6,N/A
DEL-NER-2026-000269,2026-08-25 12:30:00,2026-08-26 16:30:00,Pending,Manipur,Churachandpur,Churachandpur,795148,Blue Dart / DHL,Handicrafts & Organic NE Produce (Outbound),18.81,11821.27,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Cash on Delivery (COD),Pending,None,21.8,N/A
DEL-NER-2026-000302,2026-08-25 12:30:00,2026-08-25 18:30:00,2026-08-25 18:30:00,Assam,Dibrugarh,Dibrugarh,781842,Blue Dart / DHL,Handicrafts & Organic NE Produce (Outbound),7.14,20959.41,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Cash on Delivery (COD),Verified,None,25.6,4.7
DEL-NER-2026-000193,2026-08-25 12:30:00,2026-08-26 14:30:00,Pending,Meghalaya,West Garo Hills,Tura,793284,DTDC Express,Apparel & Fashion,0.9,1177.94,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,10.8,N/A
DEL-NER-2026-000270,2026-08-25 11:30:00,2026-08-26 20:30:00,Pending,Assam,Kamrup Metropolitan,Guwahati,781204,Shadowfax,E-Commerce Consumer Electronics,7.09,37090.54,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,24.4,N/A
DEL-NER-2026-000138,2026-08-25 11:30:00,2026-08-26 00:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791935,India Post (Speed Post),Apparel & Fashion,0.78,2384.87,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,24.5,N/A
DEL-NER-2026-000017,2026-08-25 11:30:00,2026-08-26 01:30:00,Pending,Sikkim,South Sikkim,Namchi,737554,ExpressBees,Apparel & Fashion,0.31,1195.66,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,29.7,N/A
